COMMON FISH NAME,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Origin,Scientific Name,QR,SKU
Anemone Bubble Tip,"Tigger Pods, Oyster Feast, ROE","Semi-aggressive (stinging), popular clownfish host",Reef Caution,12-14 Inches diameter,30 Gallon,Decades (can outlive owner),No - attaches to rock,Easy,2-3x per week,"Brown/tan body, rose or green bulbed tentacle tips","Caution - stings tankmates & corals, excellent clownfish host",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Entacmaea quadricolor,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Anemone Bubble Tip Green.html,AE01
Anemone Bubble Tip Green,"Tigger Pods, Oyster Feast, ROE","Semi-aggressive (stinging), popular clownfish host",Reef Caution,12-14 Inches diameter,30 Gallon,Decades (can outlive owner),No - attaches to rock,Easy,2-3x per week,Vivid green body and tentacles,"Caution - stings tankmates & corals, excellent clownfish host",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Entacmaea quadricolor (color morph),https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Anemone Bubble Tip Green.html,AE02
Anemone Bubble Tip Rose,"Tigger Pods, Oyster Feast, ROE","Semi-aggressive (stinging), popular clownfish host",Reef Caution,12-14 Inches diameter,30 Gallon,Decades (can outlive owner),No - attaches to rock,Easy,2-3x per week,Deep rose/pink tentacle tips,"Caution - stings tankmates & corals, excellent clownfish host",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Entacmaea quadricolor (color morph),https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Anemone Bubble Tip Rose.html,AE03
Anemone Carpet,"Tigger Pods, Oyster Feast, ROE","Aggressive - highly toxic sting, can kill fish/other anemones",Not reef safe,Up to 20-30 Inches diameter,75 Gallon,Decades,Yes - often sand/rubble dwelling,Moderate,2x per week,"Green, tan, or blue variations","Caution - very toxic sting, expert keepers only",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Stichodactyla haddoni,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Anemone Carpet.html,AE04
Anemone Rock Flower,"Tigger Pods, Oyster Feast, ROE","Peaceful, stationary","Reef safe with caution - mild sting, minimal roaming",3-6 Inches diameter,20 Gallon,Years to decades,Semi - attaches to rock/rubble within sand bed,Easy,2-3x per week,"Highly variable, vividly multicolored disc","Good - colorful, stationary, reef-community friendly",76-82°F,1.023-1.025,8.1-8.4,Caribbean,Epicystis crucifer,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Anemone Rock Flower.html,AE05
Anemone Sebae,"Tigger Pods, Oyster Feast, ROE","Semi-aggressive (stinging), hosts clownfish",Not reef safe,12-20 Inches diameter,50 Gallon,Decades,No - attaches to rock,"Moderate - sensitive, lower acclimation success",2x per week,Tan/cream body with pale tentacle tips,"Caution - toxic sting, tends to roam tank",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Heteractis crispa,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Anemone Sebae.html,AE06
Crab Blue Leg Hermit,"Arcti Pods, ROE, Tigger Pods",Peaceful scavenger/algae grazer,Reef safe,1 Inches,10 Gallon,1-3 Years,"Beneficial, not required",Easy,Continuous grazer,"Blue legs, tan body",Excellent - premier cleanup crew member,76-82°F,1.023-1.025,8.1-8.4,Caribbean,Clibanarius tricolor,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Blue Leg Hermit.html,CR01
Crab Emerald Green,"Arcti Pods, ROE, Tigger Pods","Semi-aggressive, territorial with own kind",Reef safe,2 Inches,20 Gallon,2-4 Years,No,Easy,"Daily grazing, supplement 2-3x/week","Bright green body, hairy legs",Good - excellent bubble-algae control; keep one per tank,76-82°F,1.023-1.025,8.1-8.4,Caribbean,Mithraculus sculptus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Emerald Green.html,CR03
Crab Emerald Green Lot of 2,"Arcti Pods, ROE, Tigger Pods","Semi-aggressive, territorial with own kind",Reef safe,2 Inches,20 Gallon,2-4 Years,No,Easy,"Daily grazing, supplement 2-3x/week","Bright green body, hairy legs",Good - excellent bubble-algae control; keep one per tank,76-82°F,1.023-1.025,8.1-8.4,Caribbean,Mithraculus sculptus,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Emerald Green Lot of 2.html,CR04
Crab Pom Pom,"Arcti Pods, ROE, Tigger Pods","Peaceful, shy",Reef safe,1 Inches,10 Gallon,2-3 Years,No - prefers rockwork/rubble,Moderate,2-3x per week,Tan/white mottled; carries anemones ('pom poms') in claws,"Good - novelty species, peaceful, spends time hidden",76-82°F,1.023-1.025,8.1-8.4,Indo-Pacific,Lybia tessellata,https://bubba751.github.io/Saltwater-Inverts-HTML-Files/Crab Pom Pom.html,CR05
